"who_retweet","who_post","weight"
"str_1096434308","str_392933208",1
"str_1096434308","str_50442179",1
"str_1096445426","str_364632749",1
"str_1096473809077583872","str_175847438",1
"str_1096473809077583872","str_3065062453",2
"str_1096473809077583872","str_928876209211166721",1
"str_1096487872272654338","str_1132156746",1
"str_1096487872272654338","str_123044424",13
"str_1096487872272654338","str_2268036854",6
"str_1096487872272654338","str_249448443",1
"str_1096487872272654338","str_479935499",2
"str_1096487872272654338","str_965235634053894147",1
"str_109659492","str_15745521",4
"str_109659492","str_21562819",2
"str_109659492","str_41637247",4
"str_109659492","str_87464481",1
"str_1097072408","str_19788386",5
"str_1097072408","str_23618718",1
"str_1097072408","str_77692118",1
"str_1098737419","str_121783565",1
"str_1098737419","str_819782878678511616",1
"str_109901017","str_15117083",3
"str_109901017","str_1568361283",2
"str_109901017","str_31277613",4
"str_109901017","str_42854756",9
"str_109901017","str_879458616939556864",1
"str_109901017","str_905115883793731585",1
"str_1099429672524398592","str_19183709",1
"str_109974187","str_735888005894836225",2
"str_110159496","str_142822803",12
"str_110159496","str_17572116",6
"str_110159496","str_18938719",1
"str_110159496","str_818524048888131584",76
"str_110282477","str_2889316666",2
"str_110282477","str_984493774419255298",1
"str_1102924608","str_1087394850532741123",1
"str_1102924608","str_14801813",6
"str_1102924608","str_2285651706",1
"str_1102924608","str_970751602364682242",13
"str_1103795084502302720","str_3761644334",1
"str_1104780199382712321","str_15917926",2
"str_1104780199382712321","str_2319105211",3
"str_1104780199382712321","str_27670007",1
"str_1104780199382712321","str_278278143",1
"str_1104780199382712321","str_33717887",6
"str_1105163569077895170","str_78033328",1
"str_1105209434085580800","str_479093108",1
"str_1105209434085580800","str_992053607007707136",1
"str_1109801413331292161","str_3040281984",1
"str_1110204212","str_145145693",2
"str_1110204212","str_15986586",3
"str_1110204212","str_376444395",4
"str_1110204212","str_59967309",1
"str_1110204212","str_69210386",1
"str_1110204212","str_86523551",3
"str_1110204212","str_89018912",1
"str_111054940","str_1096473809077583872",1
"str_111054940","str_14304836",1
"str_111054940","str_175847438",1
"str_111054940","str_3065062453",1
"str_111054940","str_364632749",2
"str_111054940","str_77098233",3
"str_111054940","str_928876209211166721",4
"str_1110580473904988160","str_18189966",1
"str_1110580473904988160","str_19572818",1
"str_111073776","str_111693211",2
"str_111073776","str_78033328",5
"str_1112161434","str_252442108",1
"str_1112161434","str_92558741",1
"str_1112289313","str_158715755",6
"str_1112289313","str_17168851",2
"str_1112289313","str_175847438",1
"str_1112289313","str_3065062453",1
"str_1112289313","str_3099952406",3
"str_1112289313","str_356903515",2
"str_1112289313","str_36524859",1
"str_1112289313","str_392933208",1
"str_1112289313","str_50442179",2
"str_1112289313","str_77098233",1
"str_1112289313","str_771856099",1
"str_1113166019307089920","str_1730884950",1
"str_1113166019307089920","str_738482854531764224",3
"str_1113166019307089920","str_97306684",5
"str_111375336","str_64295441",4
"str_1115051107276021761","str_3188152800",3
"str_1115707677730959360","str_250490865",4
"str_1115707677730959360","str_738482854531764224",3
"str_1115707677730959360","str_97306684",1
"str_111618237","str_133782380",1
"str_111618237","str_43038546",3
"str_111618237","str_595693520",2
"str_111693211","str_78033328",4
"str_1117755500","str_24430658",2
"str_1117755500","str_2910867573",1
"str_1117755500","str_42658483",3
"str_1117755500","str_808346877582331904",1
"str_1118650930357047298","str_384690337",1
"str_1120729735372451840","str_16936014",1
"str_1123017619252994048","str_411024392",1
"str_112361610","str_46534084",2
"str_112361610","str_86523551",4
"str_1125399872209858560","str_109901017",2
"str_112543508","str_1694721368",1
"str_112543508","str_23442668",1
"str_112543508","str_50442179",1
"str_1128317731072122880","str_14466551",1
"str_1128317731072122880","str_26276316",1
"str_1128438697","str_365408479",3
"str_1128713138076094464","str_818524048888131584",1
"str_112899475","str_111054940",1
"str_112899475","str_17168851",1
"str_112899475","str_175847438",13
"str_112899475","str_3065062453",4
"str_112899475","str_356903515",2
"str_112899475","str_364632749",4
"str_112899475","str_928876209211166721",1
"str_1129029781","str_20644994",5
"str_1129754922059276293","str_1004815933670678529",11
"str_1129754922059276293","str_15323106",1
"str_1129754922059276293","str_21762059",2
"str_1129754922059276293","str_3188152800",12
"str_1129754922059276293","str_42523890",2
"str_1129754922059276293","str_908744939793637376",1
"str_113092649","str_1077365580",1
"str_113092649","str_19237004",3
"str_113092649","str_19538697",1
"str_113092649","str_22925350",1
"str_113092649","str_748208579157594112",1
"str_113092649","str_755872938084147200",23
"str_113092649","str_990085837",3
"str_113173142","str_3065062453",1
"str_1132045987","str_121783565",1
"str_1132045987","str_15663169",3
"str_1132045987","str_2153645966",1
"str_1132045987","str_257302726",2
"str_1132156746","str_123044424",3
"str_1132156746","str_15986586",1
"str_1132156746","str_2268036854",1
"str_1132156746","str_249448443",7
"str_1132156746","str_479935499",2
"str_1132179139","str_106252738",3
"str_1132179139","str_193717995",1
"str_1132179139","str_66562891",15
"str_1135373598","str_66562891",3
"str_1135557217","str_133122139",2
"str_1135557217","str_198926612",5
"str_1135557217","str_31197507",2
"str_1136367750094479360","str_751075331801485313",1
"str_1137459946348523522","str_850011900113018881",10
"str_1137924488","str_16039183",1
"str_1137924488","str_3019190647",1
"str_1137924488","str_46458451",1
"str_114002089","str_1105209434085580800",1
"str_114002089","str_2699864529",1
"str_114002089","str_392077251",3
"str_114002089","str_479093108",32
"str_114002089","str_550591330",1
"str_114002089","str_70591921",1
"str_114002089","str_715613647758819330",1
"str_114002089","str_873499573",1
"str_1140560719","str_15211944",1
"str_1140560719","str_2191262215",1
"str_1140560719","str_38707559",2
"str_1141019188103979010","str_600663197",10
"str_1141563763","str_133122139",21
"str_1141563763","str_16993112",2
"str_1141563763","str_18678732",1
"str_1141563763","str_198926612",1
"str_114207661","str_26078159",14
"str_114207661","str_33801008",4
"str_114207661","str_42658483",23
"str_114207661","str_87944490",1
"str_114286641","str_169586297",1
"str_114286641","str_214565388",4
"str_114286641","str_26276316",43
"str_114286641","str_2979059877",1
"str_114286641","str_751075331801485313",1
"str_114286641","str_96161390",1
"str_114338937","str_2400595245",4
"str_114338937","str_918154700",1
"str_114338937","str_940024922394497024",2
"str_114338937","str_967169939022012416",1
"str_1144117167232827392","str_2285651706",2
"str_1145082740263542784","str_411024392",1
"str_1148726298","str_15117083",7
"str_1148726298","str_21836759",3
"str_1148726298","str_22481727",1
"str_1148726298","str_42854756",1
"str_1148726298","str_48179956",1
"str_1148726298","str_98845251",1
"str_114944050","str_105336659",1
"str_114944050","str_118198589",1
"str_114944050","str_17091701",1
"str_114944050","str_2512863602",1
